1;44;6;0;313.6466971314150;-180;239.1680659561060;Ampara
2;40;9;0;-133.5040052664640;-180;-156.2726259864880;Anuradhapura
3;36;12;0;106.3257631918930;-180;318.1739322998050;Badulla
4;29;4;0;311.9610807948380;-180;36.4097466385870;Batticaloa
5;14902;220;82;-312.6234722634700;-180;333.3669080282360;Colombo
6;158;26;0;-205.5424887402590;-180;634.3784195102960;Galle
7;5851;629;14;-266.6700448217780;-180;256.6817133320910;Gampaha
8;22;6;0;112.3733039277230;-180;578.3823563446100;Hambantota
9;67;14;0;-263.7049173357690;-180;-667.9713237287360;Jaffna
10;682;59;4;-252.8756000377580;-180;460.9521869051490;Kalutara
11;238;20;0;-40.2401375854802;-180;204.6728874287890;Kandy
12;176;10;0;-144.2870030569010;-180;216.3769031835540;Kegalle
13;5;1;0;-141.5197663514300;-180;-538.3927633695300;Kilinochchi
14;220;17;4;-141.9278057887140;-180;118.0097550983370;Kurunegala
15;8;3;0;-298.9983649868150;-180;-401.4515391395300;Mannar
16;24;5;0;-45.7915548890992;-180;120.3789989490980;Matale
17;30;6;0;-89.9898088641442;-180;662.3722488275700;Matara
18;30;4;0;202.1146114180890;-180;356.8571558559350;Moneragala
20;101;29;1;12.0416365947886;-180;311.9905875459100;Nuwara Eliya
21;594;382;0;88.9306895299060;-180;-17.3588507452880;Polonnaruwa
22;5;2;2;-314.0152581244280;-180;-58.8983514848454;Puttalam
23;205;10;0;-118.3803269311920;-180;399.8663773006000;Ratnapura
24;14;4;0;141.3952786008930;-180;-262.8482373130030;Trincomalee
25;17;3;0;-86.5883518170068;-180;-311.4448086792940;Vavuniya